Name,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates,lon,lat,magnitude
Stratton Middle and High School Wind Project,Community Wind,,,,CO,0,1,2009,SkyStream,In Service,"39.30406°, -102.59967°",-102.59967,39.30406,4.421515658731244,-1.909712577311913
Streator Cayuga Ridge Wind Farm,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,TVA,Livingston County IL,300,150,2010,Gamesa,In Service,"40.955319°, -88.428011°",-88.428011,40.955319,0.2505992793919188,2.642245939028052
Stuart Municipal Utilities Wind Farm,Commercial Scale Wind,Stuart Municipal Utilities,Stuart Municipal Utilities,Stuart Municipal Utilities,Stuart IA,0.66,1,2005,Vestas,In Service,"41.493988°, -94.327403°",-94.327403,41.493988,1.1604309865021192,0.7488291070412763
Summerside Wind Farm,Community Wind,City of Summerside,,,,3,4,2009,Vestas,In Service,"46.434690582374°, -63.800010681152°",-63.800010681152,46.434690582374,4.74806280370792,-0.12670609135930871
Sunray I Wind Farm,Commercial Scale Wind,Valero,Valero,McKee Refinery for 34.5; Xcel Energy for remainder,TX,9,6,2009,GE Energy,In Service,"35.961137°, -101.804602°",-101.804602,35.961137,8.735610652403347,-1.710912592882209
Sunray II Wind Farm,Commercial Scale Wind,Valero,Valero,McKee Refinery for 34.5; Xcel Energy for remainder,TX,40.5,27,2009,GE Energy,In Service,"35.961137°, -101.804602°",-101.804602,35.961137,8.735610652403347,-1.710912592882209
Superior Farms,Community Wind,Foundation Windpower,Foundation Windpower,Superior Farms,Dixon CA,1,1,2012,Mitsubishi,In Service,"38.420103°, -121.817506°",-121.817506,38.420103,5.946805732111159,-1.432466437082039
Superior Public Schools Wind Project,Community Wind,,,,NE,0,1,,SkyStream,,"40.022099°, -98.078537°",-98.078537,40.022099,4.574210249540933,-2.1412143435730284
Surf City,Offshore Wind,Pavilion Energy Resources / Zero Carbon Wind Energy Corp,Pavilion Energy Resources / Zero Carbon Wind Energy Corp,,Atlantic Ocean NJ,NaN,55,,Sterling,Proposed,"39.38°, -73.508°",-73.508,39.38,6.477653787333963,0.7984978384440095
Sustainable Technologies Museum Wind Farm,Commercial Scale Wind,GSG 3 LLC,FPC/GSG Wind,ComEd,IL,2.5,1,2007,Clipper,In Service,"40.6331249°, -89.3985283°",-89.3985283,40.6331249,1.326084470360224,2.7792915512441714
Suzlon Project VII,Commercial Scale Wind,Suzlon Energy Company,Suzlon Energy Company,QF on SPP,Dumas TX,4.2,2,2011,Suzlon Energy Company,In Service,"35.8510078°, -101.9774241°",-101.9774241,35.8510078,8.858894070282325,-1.720356068673649
Swauk Valley,Commercial Scale Wind,McKinstry,McKinstry,,Ellensburg WA,4.25,5,2012,Gamesa,In Service,"47.14163°, -120.754376°",-120.754376,47.14163,2.8241813222850616,-1.2983331833695047
Sweetwater,Commercial Scale Wind,Babcock & Brown/Catamount,DKRW/Babcock & Brown,TXU Electric & Gas,Sweetwater TX,37.5,25,2003,GE Energy,In Service,"32.368084°, -100.333722°",-100.333722,32.368084,9.242862359193078,-2.522978182009012
Sweetwater 4a,Commercial Scale Wind,,Babcock & Brown/Catamount Energy,City of San Antonio Texas (Utility Company),Sweetwater TX,135,135,2007,Mitsubishi,In Service,"32.368084°, -100.333722°",-100.333722,32.368084,9.242862359193078,-2.522978182009012
Sweetwater 4b,Commercial Scale Wind,,Babcock & Brown/Catamount Energy,City of San Antonio Texas (Utility Company),Sweetwater TX,105.8,46,2007,Siemens,In Service,"32.368084°, -100.333722°",-100.333722,32.368084,9.242862359193078,-2.522978182009012
Sweetwater 5 Wind Farm,Commercial Scale Wind,Babcock & Brown/Catamount Energy,Babcock & Brown/Catamount Energy,Market,Sweetwater TX,80.5,35,2007,Siemens,In Service,"32.368084°, -100.333722°",-100.333722,32.368084,9.242862359193078,-2.522978182009012
Sweetwater Phase II Wind Farm,Commercial Scale Wind,Babcock & Brown/Catamount,DKRW/Babcock & Brown/Catamount,Austin Energy,Sweetwater TX,91.5,61,2005,GE Energy,In Service,"32.368084°, -100.333722°",-100.333722,32.368084,9.242862359193078,-2.522978182009012
Sweetwater Phase III Wind Farm,Commercial Scale Wind,Babcock & Brown/Catamount,DKRW/Babcock & Brown/Catamount,CPS Energy/Austin Energy,Sweetwater TX,135,90,2005,GE Energy,In Service,"32.368084°, -100.333722°",-100.333722,32.368084,9.242862359193078,-2.522978182009012
TJ Automation,Definition:Small Scale Wind,TJ Automation,,TJ Automation,Archbold OH,0.1,1,2010,Northern Power Systems,In Service,"41.45823855°, -84.30666804°",-84.30666804,41.45823855,3.214498443849605,0.052910072645558574
Taconite Ridge Wind Farm,Commercial Scale Wind,Minnesota Power,Minnesota Power,Minnesota Power,St. Louis County MN,25,10,2008,Clipper,In Service,"47.572837°, -92.60077°",-92.60077,47.572837,2.3711810769303545,-1.362648483400909
Talbot County DPW,Community Wind,Talbot County DPW,,Talbot County DPW,Easton MD,0.3,3,2010,Clipper,In Service,"38.8182443°, -76.0331583°",-76.0331583,38.8182443,1.6862976987354663,0.5912920720746353
Taloga Wind Farm,Commercial Scale Wind,Edison Mission Energy,Edison Mission Group,Oklahoma Gas & Electric,North of Taloga OK,129.6,54,2012,Mitsubishi,In Service,"36.08915°, -98.979716°",-98.979716,36.08915,6.494251323543275,-1.6370572088873159
Tatanka Wind Project I,Commercial Scale Wind,Acciona Energy,Acciona Energy,,McPherson County SD,88.5,59,2008,Acciona,In Service,"45.939171°, -98.943915°",-98.943915,45.939171,2.434789486525022,-2.472624573173406
Tatanka Wind Project II,Commercial Scale Wind,Acciona Energy,Acciona Energy,,Dickey and McIntosh Counties ND,91.5,61,2008,Acciona,In Service,"45.951884°, -98.940482°",-98.940482,45.951884,2.434789486525022,-2.472624573173406
Teichert Aggregates,Community Wind,Teichert Aggregates,Foundation Windpower,Teichert Aggregates,South of Tracy CA,1.5,1,2010,GE Energy,In Service,"37.616169°, -121.356236°",-121.356236,37.616169,3.8820226981164216,0.45327932692489364
Testa Produce,Community Wind,Testa Produce,Testa Produce,Testa Produce,Chicago IL,0.75,1,2011,Aeronautica,In Service,"41.81065982°, -87.65433311°",-87.65433311,41.81065982,1.6917742069745414,-0.8313908170066658
Texas Offshore Pilot Research Project,Offshore Wind,Baryonyx Corporation,Baryonyx Corporation,,Gulf of Mexico TX,25,5,,,Proposed,"26.186°, -97.077°",-97.077,26.186,4.2284986363079815,1.9614033658922765
Texas State Technical College Wind Farm,Community Wind,Texas State Technical College,Texas State Technical College,Texas State Technical College,Sweetwater TX,2,1,2008,DeWind,In Service,"32.4709519°, -100.4059384°",-100.4059384,32.4709519,10.536740156840834,-2.5472726502972223
The City of Union City,Community Wind,Performance Services,,AEP - Indiana Michigan Power,Union City IL,1,1,2010,Nordic,In Service,"40.19339719°, -84.81110573°",-84.81110573,40.19339719,1.4549914375033575,-2.724066189040291
Tholen & Petersen Wind Farm,Commercial Scale Wind,,Tholen & Petersen,Xcel Energy,Tracy MN,13.2,8,2005,Vestas,In Service,"44.238881°, -95.616825°",-95.616825,44.238881,0.6171709679236413,-0.7051113567210358
Thomas Harrison Middle School Wind Project,Community Wind,,,,VA,0,1,2012,SkyStream,In Service,"38.452833102347°, -78.890895433724°",-78.890895433724,38.452833102347,1.4395137724358351,-1.773641422972252
Thomas Middle School Wind Project,Community Wind,,,,IL,0,1,,SkyStream,,"42.1022056°, -87.9784025°",-87.9784025,42.1022056,3.4059947877800356,-1.9371269913146008
Thousand Springs Wind Park,Commercial Scale Wind,Exergy,Exergy,Idaho Power,Twin Falls County ID,12,8,2011,GE Energy,In Service,"42.7452°, -114.828°",-114.828,42.7452,3.0727512116160174,0.44763734755143153
Three D Metals Wind Turbine,Definition:Small Scale Wind,Three D Metals,,Three D Metals,Valley City OH,0.1,1,2009,Northern Power Systems,In Service,"41.248155°, -81.883079°",-81.883079,41.248155,2.084922027433508,0.8975535272457646
Three Mile Canyon,Commercial Scale Wind,John Deere Wind,Momentum RE,PacifiCorp,Morrow County OR,9.9,6,2009,Vestas,In Service,"45.717419°, -119.502258°",-119.502258,45.717419,3.1886830049129182,1.1127587519573054
Threemile Canyon Wind Farm,Commercial Scale Wind,John Deere Wind,John Deere Wind,PacifiCorp,Morrow County OR,9.9,6,2009,Vestas,In Service,"45.837861°, -119.701286°",-119.701286,45.837861,2.0179196585171533,0.8836721096273694
Tillamook Offshore Wind Farm,Offshore Wind,Principle Power,Principle Power,,Offshore from Tillamook OR,150,30,,Undetermined,Proposed,"45.527°, -124.179°",-124.179,45.527,6.507610852326504,-1.8049666159941964
Tillamook Windfloat Phase 1,Offshore Wind,Principle Power,Principle Power,,Pacific Ocean OR,5,1,,,Proposed,"45.54°, -124.156°",-124.156,45.54,5.317076206859657,-1.8705397404270319
Timber Road II,Commercial Scale Wind,Horizon Wind Energy,Horizon Wind Energy,American Electric Power,Near Payne OH,99,55,2010,Vestas,In Service,"41.023524°, -84.717185°",-84.717185,41.023524,2.391338642090631,0.03346030823473603
Tin City Long Range Radar Station Wind Farm,Community Wind,Tin City Long Range Radar Station,Tanadgusix Corp.,Tin City Long Range Radar Station,Nome AK,0.23,1,2008,Vestas,In Service,"65.559372°, -167.949686°",-167.949686,65.559372,6.883117087454994,-2.19628139823462
Tippecanoe Valley School Corp,Community Wind,Tippecanoe Valley School Corp,Performance Services,Tippecanoe Valley School Corp,Akron IN,0.9,1,2011,PowerWind,In Service,"41.11098144°, -86.04468584°",-86.04468584,41.11098144,2.025290130229182,-0.23420063352781517
Titan I Wind Farm,Commercial Scale Wind,BP Alternative Energy/Clipper,BP Alternative Energy/Clipper,Northwestern Energy,South of Ree Heights SD,25,10,2009,Clipper,In Service,"44.480053°, -99.209476°",-99.209476,44.480053,2.272289536175724,-2.3094994923827232
Titan Platform,Offshore Wind,,Offshore Wind Power Systems of Texas,,Gulf of Mexico TX,7,1,,,Proposed,"27.912°, -96.833°",-96.833,27.912,3.475197864532177,1.6254967464779513
Tjaden Farms Wind Farm,Community Wind,Tjaden Farms,,Tjaden Farms,Charles City IA,0.45,1,2006,Bonus,In Service,"43.170337°, -92.58944°",-92.58944,43.170337,4.636000234952765,-2.857367136359448
Top Crop Wind Farm,Commercial Scale Wind,Horizon-EDPR,Horizon-EDPR,,Grundy/Livingston/La Salle Counties IL,102,68,2009,GE Energy,In Service,"41.159826°, -88.637381°",-88.637381,41.159826,1.3928387832130253,1.2036224806870595
Top Crop Wind Farm (Phase II),Commercial Scale Wind,Horizon-EDPR,Horizon-EDPR,,Grundy County IL,198,132,2010,GE Energy,In Service,"41.202313°, -88.530078°",-88.530078,41.202313,1.2944883545218757,1.2075048961082213
Top of Iowa II Wind Farm,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,,Worth County IA,80,40,2008,Gamesa,In Service,"43.361088°, -93.294282°",-93.294282,43.361088,4.137934191616782,-2.9740601879575803
Top of Iowa III Wind Farm,Commercial Scale Wind,Madison Gas & Electric,Midwest Renewable Energy Projects,Madison Gas & Electric,Worth County IA,29.7,18,2008,Vestas,In Service,"43.361088°, -93.294282°",-93.294282,43.361088,4.137934191616782,-2.9740601879575803
Top of Iowa Wind Farm,Commercial Scale Wind,,Zilkha Renewable/Midwest Renewable,Alliant/IES Utilities,Worth County IA,80.1,89,2001,NEG Micon,In Service,"43.361088°, -93.294282°",-93.294282,43.361088,4.137934191616782,-2.9740601879575803
Top of the World (GE),Commercial Scale Wind,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,PacifiCorp,4 miles northeast of Glenrock WY,99,66,2010,GE Energy,In Service,"42.914132°, -105.691223°",-105.691223,42.914132,3.5029702831067424,2.875841359506802
Top of the World (Siemens),Commercial Scale Wind,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,PacifiCorp,4 miles northeast of Glenrock WY,101.2,44,2010,Siemens,In Service,"42.914132°, -105.691223°",-105.691223,42.914132,3.5029702831067424,2.875841359506802
Town of Barnstable,Community Wind,Town of Barnstable,,Town of Barnstable,Barnstable MA,0.2,1,2010,Northern Power Systems,In Service,"41.66402376°, -70.30557185°",-70.30557185,41.66402376,3.307325155584639,0.06656816437522692
Town of Richland,Definition:Small Scale Wind,Sustainable Energy Development,,Town of Richland,Richland NY,0.1,1,2010,Northern Power Systems,In Service,"43.56504687°, -76.03708506°",-76.03708506,43.56504687,1.6964079648877335,-0.28072880412830814
Townsend School District Wind Project,Community Wind,,,,MT,0,1,,SkyStream,,"46.321682°, -111.521049°",-111.521049,46.321682,1.5840454333031857,2.490515939271646
Traer Wind,Community Wind,Norsemen Wind Energy LLC,Clark Thompson,Traer Municipal Electric Utility,Traer IA,1.5,1,2011,Goldwind,In Service,"42.15242792°, -92.46557236°",-92.46557236,42.15242792,1.6949925951810034,-1.0040670796039195
Traverse City Light & Power Wind Farm,Community Wind,Traverse City Light & Power,Traverse City Light & Power,Traverse City Light & Power,Traverse City MI,0.6,1,1996,Vestas,In Service,"44.777032°, -85.689917°",-85.689917,44.777032,1.689082620237991,-1.9150149991224859
Trent Mesa Wind Farm,Commercial Scale Wind,American Electric Power,American Electric Power,TXU Electric & Gas,Nolan and Taylor Counties TX,150,100,2001,GE Energy,In Service,"32.295161°, -100.150645°",-100.150645,32.295161,7.635843170089186,-2.5434196530097637
Tres Vaqueros I Wind Farm,Commercial Scale Wind,,International Wind Companies,Pacific Gas & Electric Co,Altamont Pass CA,28.05,85,,Howden,In Service,"37.7347°, -121.652°",-121.652,37.7347,3.9038698760531547,0.6983459973453058
Tres Vaqueros II Wind Farm,Commercial Scale Wind,,International Wind Companies,Pacific Gas & Electric Co,Altamont Pass CA,0.75,1,,Howden,In Service,"37.7347°, -121.652°",-121.652,37.7347,3.9038698760531547,0.6983459973453058
Trimont Area Wind Farm,Commercial Scale Wind,PPM Energy Inc,PPM Energy Inc,Great River Energy,Southwest MN MN,100.5,67,2005,GE Energy,In Service,"43.779594°, -94.852874°",-94.852874,43.779594,2.881336390596524,3.0198205179125726
Trinity Hills,Commercial Scale Wind,BP Wind Energy,BP Wind Energy,Merchant,Archer and Yound Counties TX,225,90,2012,Clipper,In Service,"33.401504°, -98.7115027°",-98.7115027,33.401504,3.8831172482916485,-2.947227384648666
Tuana Gulch Wind Park,Commercial Scale Wind,Exergy,Exergy,Idaho Power,Twin Falls County ID,10.5,7,2010,GE Energy,In Service,"42.89°, -114.98°",-114.98,42.89,0.6989277283685505,0.9788254937687653
Tuana Springs Wind Farm,Commercial Scale Wind,John Deere Wind,John Deere Wind,Idaho Power,Twin Falls County ID,16.8,8,2010,Suzlon Energy Company,In Service,"42.814261°, -114.996665°",-114.996665,42.814261,2.1731313938269525,0.5254245849495718
Turkey Track Wind Farm,Commercial Scale Wind,CanTex Energy,Wind Tex Energy LP,,Nolan TX,169.5,113,2008,GE Energy,In Service,"32.23182529°, -100.043478°",-100.043478,32.23182529,7.905523144339296,-2.46823456654557
Turtle Mountain Community College Wind Farm,Community Wind,Turtle Mountain Community College,Distributed Gen,Turtle Mountain Community College,St. John ND,0.66,1,2008,Vestas,In Service,"48.884703°, -99.751936°",-99.751936,48.884703,2.026474732332993,1.082870924449966
Turtle Mountain Wind Farm,Definition:Small Scale Wind,Turtle Mountain Chippewa,,Turtle Mountain Chippewa,Belcourt ND,0.1,1,1997,NEG Micon,In Service,"48.839486°, -99.745145°",-99.745145,48.839486,1.5153877107470584,1.1780356653104855
Tuscola Bay Wind,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Detroit Edison,Fairgrove MI,120,75,2012,GE Energy,In Service,"43.52596°, -83.653106°",-83.653106,43.52596,3.409310735780418,-2.3810856399468205
Twin Buttes Wind Farm,Commercial Scale Wind,,PPM Energy Inc,Xcel Energy,Prowers County CO,75,50,2007,GE Energy,In Service,"37.674215°, -102.639971°",-102.639971,37.674215,5.955375590070537,-1.7191050747323355
Twin Groves I Wind Farm,Commercial Scale Wind,,Horizon Wind Energy,,McLean County IL,198,120,2007,Vestas,In Service,"40.463317°, -88.64753°",-88.64753,40.463317,1.1476933432363141,-2.294544305072759
Twin Groves II (07) Wind Farm,Commercial Scale Wind,Horizon Wind Energy,Horizon Wind Energy,Constellation Energy,McLean County IL,161.7,98,2007,Vestas,In Service,"40.463317°, -88.64753°",-88.64753,40.463317,1.1476933432363141,-2.294544305072759
Twin Groves II (08) Wind Farm,Commercial Scale Wind,Horizon Wind Energy,Horizon Wind Energy,Constellation Energy,McLean County IL,36.3,22,2008,Vestas,In Service,"40.463317°, -88.64753°",-88.64753,40.463317,1.1476933432363141,-2.294544305072759
Twin Ridges,Commercial Scale Wind,EverPower,EverPower,Merchant,Somerset County PA,139.4,68,2012,REpower,In Service,"39.76104709°, -78.91136169°",-78.91136169,39.76104709,0.4220189598014164,0.634022714643379
U.S. Marine Corp Logistics Base,Community Wind,,,,Barstow CA,1.5,1,2009,AAER,In Service,"34.85832705°, -116.9559002°",-116.9559002,34.85832705,2.781078809222987,0.7039461326549021
UAA Mat-Su College,Community Wind,UAA Mat-Su College,Susitna Energy Systems,Matanuska Electric Association,AK,0.0024,1,2012,Southwest Windpower,In Service,"61.580491°, -149.2504094°",-149.2504094,61.580491,2.8347133319978464,2.170540097797255
USD 307 Ell-Saline Wind Project,Community Wind,,,,KS,0,1,,SkyStream,,"38.77187°, -97.861519°",-97.861519,38.77187,4.906088126147229,-1.8686958356380508
USD 345 Seaman High School Wind Project,Community Wind,,,,KS,0,1,,SkyStream,,"39.135315°, -95.66996°",-95.66996,39.135315,3.411231402650143,-2.432966358719492
USD 373 Walton Rural Life Wind Project,Community Wind,,,,KS,0,1,,SkyStream,,"38.118351°, -97.260567°",-97.260567,38.118351,4.696403082636393,-1.8534831800906406
USD 375 Circle High School Wind Project,Community Wind,,,,KS,0,1,,SkyStream,,"37.794674°, -96.994576°",-96.994576,37.794674,5.233622059812852,-1.8574947429719215
USD 376 Sterling High School Wind Project,Community Wind,,,,KS,0,1,,SkyStream,,"38.216789°, -98.202492°",-98.202492,38.216789,5.312701581850917,-1.7947735094587325
USD 384 Blue Valley Wind Project,Community Wind,,,,KS,0,1,,SkyStream,,"39.433575°, -96.758011°",-96.758011,39.433575,4.74009485004989,-2.207968402033597
USD 393 Solomon High School Wind Project,Community Wind,,,,KS,0,1,,SkyStream,,"38.924103°, -97.369339°",-97.369339,38.924103,4.665211708257172,-2.0162292624342992
USD 440 Halstead Schools Wind Project,Community Wind,,,,KS,0,1,,SkyStream,,"37.998287°, -97.510193°",-97.510193,37.998287,4.8990205009204395,-1.7721950638488406
Uilk Wind Farm,Commercial Scale Wind,,Uilk Wind Farm,Xcel Energy,West of Pipestone MN,4.5,3,2009,Goldwind,In Service,"43.994704°, -96.365232°",-96.365232,43.994704,2.2243425635180576,-2.1089028032895127
Unalakleet,Commercial Scale Wind,Unalakleet Valley Electric Cooperative,STG Inc.,Unalakleet,Unalakleet AK,0.4,4,2009,Northern Power Systems,In Service,"63.875773°, -160.78527°",-160.78527,63.875773,1.5089400217448936,-2.2952372421970093
University of Delaware Wind,Community Wind,University of Delaware,First Marine Wind,University of Delaware,Lewes DE,2,1,2010,Gamesa,In Service,"38.783739°, -75.160654°",-75.160654,38.783739,3.3110271158516533,1.25764156357773
University of Minnesota -- Morris Wind Farm,Community Wind,University of Minnesota -- Morris,University of Minnesota -- Morris,University of Minnesota -- Morris,Morris MN,1.65,1,2005,Vestas,In Service,"45.5861111°, -95.9138889°",-95.9138889,45.5861111,4.23426500829314,-3.096705567910952
University of Minnesota Morris II - PES,Community Wind,University of Minnesota - Morris,University of Minnesota - Morris,University of Minnesota - Morris / Otter Tail Power,Morris MN,1.65,1,2011,Vestas,In Service,"45.5896944°, -95.87700963°",-95.87700963,45.5896944,4.23426500829314,-3.096705567910952
Upper Scioto Valley School,Community Wind,Upper Scioto Valley Schools,,Upper Scioto Valley Schools,McGuffey OH,0.2,2,2009,Northern Power Systems,In Service,"40.691542°, -83.786353°",-83.786353,40.691542,2.228115756000963,1.0126727653769214
Valley View Wind Farm,Commercial Scale Wind,Juhl Wind,Valley View Transmission,Xcel Energy,Outside Chandler MN,10,5,2011,Gamesa,In Service,"43.905808°, -96.020508°",-96.020508,43.905808,2.1750631940584126,-2.1830288889407155
Vansycle Ridge II,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,,OR,98.9,43,2009,Siemens,In Service,"45.8515°, -118.458°",-118.458,45.8515,2.8122055927893816,1.8666808768866636
Vansycle Ridge Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Portland General Electric,North of Helix OR,25.08,38,1998,Vestas,In Service,"45.966383°, -118.777499°",-118.777499,45.966383,2.7600724532771412,1.5635500769519226
Vantage Wind Energy Center,Commercial Scale Wind,Invenergy,Invenergy,Pacific Gas & Electric Co,East of Ellensburg between Vantage Highway and I90,103.5,69,2010,GE Energy,In Service,"46.965336°, -120.245204°",-120.245204,46.965336,3.6720838399122258,-1.1229817280440322
Velva Wind Farm,Commercial Scale Wind,Acciona Energy,Global Renewable Energy Partners/Acciona Energy,Xcel Energy,McHenry County ND,11.88,18,2006,Vestas,In Service,"48.089928°, -100.907328°",-100.907328,48.089928,2.390083690518748,0.9189271905777655
Venture Wind I Wind Farm,Commercial Scale Wind,SeaWest,SeaWest,Pacific Gas & Electric Co,Altamont Pass CA,1.2,12,,Various,In Service,"37.7347°, -121.652°",-121.652,37.7347,3.9038698760531547,0.6983459973453058
Venture Wind II Wind Farm,Commercial Scale Wind,SeaWest,Seawest,Pacific Gas & Electric Co,Altamont Pass CA,1.69,26,,Various,In Service,"37.7347°, -121.652°",-121.652,37.7347,3.9038698760531547,0.6983459973453058
Vermilion Bay,Offshore Wind,Coastal Point Energy LLC,Coastal Point Energy LLC,,Gulf of Mexico LA,36,18,,XEMC,Proposed,"29.741°, -92.057°",-92.057,29.741,4.480100464371106,1.577492655096742
Victorville Wind Project,Community Wind,NORESCO,NORESCO,Victorville Prison,Victorville Federal Correctional Complex CA,0.75,1,2005,Vestas,In Service,"34.557649°, -117.358299°",-117.358299,34.557649,0.9732934065418011,-0.08228798552754434
Victory Garden Wind Farm I,Commercial Scale Wind,Caithness,Caithness,Southern California Edison Co,Tehachapi CA,6,8,2005,Zond,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Victory Garden Wind Farm II,Commercial Scale Wind,Caithness,Caithness,Southern California Edison Co,Tehachapi CA,0.66,1,2005,Vestas,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Victory Gardens I and IV,Commercial Scale Wind,,Zond Systems,Southern California Edison Co,Tehachapi CA,1,2,,Vestas,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Victory Gardens Phase IV Wind Farm I,Commercial Scale Wind,NextEra Energy Resources,Zond Systems,Southern California Edison Co,Tehachapi CA,1.32,2,1990,Vestas,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Victory Gardens Phase IV Wind Farm II,Commercial Scale Wind,NextEra Energy Resources,Zond Systems,Southern California Edison Co,Tehachapi CA,21.15,94,1990,Vestas,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Victory Wind Farm,Commercial Scale Wind,MidAmerican Energy,Invenergy,MidAmerican Energy,Carroll and Crawford Counties IA,99,66,2006,GE Energy,In Service,"42.144715°, -95.138183°",-95.138183,42.144715,2.6624236232924563,0.49724841249813084
Vienna,Commercial Scale Wind,MidAmerican Energy,RPM Access Wind Development,MidAmerican Energy,Marshalltown IA,105.75,45,2012,Siemens,In Service,"42.159909°, -92.779639°",-92.779639,42.159909,1.6836270185471651,-0.5995342165241387
Viking Energy '83 Wind Farm,Commercial Scale Wind,SeaWest,SeaWest,Pacific Gas & Electric Co,Altamont Pass CA,1.69,26,1983,Micon,In Service,"37.7347°, -121.652°",-121.652,37.7347,3.9038698760531547,0.6983459973453058
Viking Wind Farm,Commercial Scale Wind,EnXco - part ownership,EnXco,Xcel Energy,Murray County MN,12,8,2003,GE Energy,In Service,"44.0215°, -95.7637°",-95.7637,44.0215,1.5532224827957903,-1.9190172497339264
Village of Cascade,Community Wind,Village of Cascade,,Village of Cascade,Cascade WI,0.2,2,2010,Northern Power Systems,In Service,"43.65868218°, -87.99709797°",-87.99709797,43.65868218,3.1695109780415285,-1.8685993690752962
WPS Wind Farm,Commercial Scale Wind,Wisconsin Public Service Co.,Wisconsin Public Service Co.,Wisconsin Public Service Co.,Lincoln in Kewaunee County WI,9.24,14,1999,Vestas,In Service,"44.611019°, -87.558818°",-87.558818,44.611019,2.658194798733287,-1.813950176116114
Wagner,Commercial Scale Wind,WKN USA LLC,WKN USA LLC,Undisclosed PPA,Palm Springs CA,6,2,2012,Vestas,In Service,"33.908089°, -116.555558°",-116.555558,33.908089,3.2515380976236496,-0.030759526528532827
Wales Wind Energy Project,Definition:Small Scale Wind,Alaska Village Electric Coop,Kotzebue Electric Assoc.,Alaska Village Electric Coop,Wales AK,0.1,2,2000,Atlantic Orient Co.,In Service,"65.6113°, -168.091°",-168.091,65.6113,7.198284281658992,-2.223188565065641
Wall Lake Municipal Utilities Wind Farm,Commercial Scale Wind,Wall Lake Municipal Utilities,Wall Lake Municipal Utilities,Wall Lake Municipal Utilities,Wall Lake IA,0.66,1,2003,Vestas,In Service,"42.281965°, -95.094098°",-95.094098,42.281965,2.2378560889987242,0.42366893568370395
Wallys Wind Farm,Commercial Scale Wind,Wallys Wind Farm LLC,,Xcel Energy,Lake Benton MN,1.25,1.25,2006,Suzlon Energy Company,In Service,"44.2847°, -96.4256°",-96.4256,44.2847,2.288864344819295,-1.7553391183537375
Walmart Red Bluff,Community Wind,Foundation Windpower,Foundation Windpower,Walmart,Red Bluff CA,1.5,1,2012,GE Energy,In Service,"40.11121276°, -122.1940291°",-122.1940291,40.11121276,4.86869598043343,-1.0050123214639473
Walnut Wind Project Wind Farm,Commercial Scale Wind,MidAmerican Energy,EnXco,MidAmerican Energy,Pottawattamie County IA,153,102,2008,GE Energy,In Service,"41.484094°, -95.185339°",-95.185339,41.484094,0.7134423379445807,1.669070283417573
Walsh High School Wind Project,Community Wind,,,,CO,0,1,2009,SkyStream,In Service,"37.38545°, -102.28452°",-102.28452,37.38545,6.305243914618229,-1.7622821633191048
Waltham Elementary Wind,Community Wind,Waltham Elementary CCSD 185,,,"Utica, IL",0,0,,SkyStream,In Service,"41.411177°, -88.9825358°",-88.9825358,41.411177,1.5979048807769707,0.6923344178652349
Wapsipinicon Wind Project,Commercial Scale Wind,EnXco,EnXco,SMMPA,Mower County MN,100.5,67,2008,GE Energy,In Service,"43.686389°, -92.615275°",-92.615275,43.686389,3.1101447124789434,-2.6419893245148662
Watauga High School Wind Energy Project,Community Wind,,,,NC,0,0,2011,,In Service,"36.2163123°, -81.6495101°",-81.6495101,36.2163123,0.5161395122809523,0.950546807250901
Watauga High School Wind Project,Community Wind,,,,NC,0,1,,SkyStream,,"36.199196°, -81.674736°",-81.674736,36.199196,0.5161395122809523,0.950546807250901
Wausau High School,Definition:Small Scale Wind,,,,Wausau WI,0.1,1,2009,Northern Power Systems,In Service,"44.97944687°, -89.59666014°",-89.59666014,44.97944687,2.1071782214229033,-2.356194490192345
Waverly III Wind Farm,Commercial Scale Wind,Waverly Light & Power,Waverly Light & Power,Waverly Light & Power,Waverly IA,0.9,1,2001,NEG Micon,In Service,"42.7241°, -92.4786°",-92.4786,42.7241,4.569048269197644,-2.6417219275098534
